X trajectory,Y trajectory,Z trajectory
0.1562911855756938,0.17417356925588764,-5.75
0.1291380996316836,0.12286846335513674,-5.814521572418045
0.10063325910223203,0.09611225042375804,-5.854214944479926
0.05358776836070246,0.06202571878487287,-5.91497794017966
0.02871032512581291,0.03575471904282194,-5.963954506983678
-0.004632701336219645,0.010160428598653884,-6.024104843743781
-0.02666468941905016,-0.023328233617596228,-6.06827576677453
-0.05431525612898417,-0.05022837691255849,-6.114433128206537
-0.08913160074562265,-0.08761738655439472,-6.155447302271523
-0.09672643378352865,-0.10536169905927822,-6.25
-0.10698828744896,-0.17868455087070687,-6.077510310996993
